ID,Rank,Name,Name2,Tnstagram,Textcolor,Country,Location,Federation,Date,Country2,Region,Fed-version,Sex,Equiptment,Age,Age_Class,Weight,Weight_Class,Squat,Bench,Deadlift,Total,Dots
88,89,Cody Wilson #1,codywilson1,cody.wilson,,USA,USA-OH,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Raw,21,J20-23,99.5,100,340,245,340,925,570.59
89,90,Gustav Hedlund,gustavhedlund,gustav.hedlund,,Sweden,,IPF,2024-02-10,UK,,ipf/2401,M,Raw,28~,Open,92.7,,325,215,355,895,570.33
90,91,Anatolii Novopismennyi,anatoliinovopismennyi,novopysmennyi,,Ukraine,,IPF,2021-09-23,Sweden,,ipf/2103,M,Raw,24~,Open,102.8,105,360,225,352.5,937.5,570.28
91,92,Ben Pollack,benpollack,phdeadlift,,USA,,WRPF,2016-08-19,USA,CA,wrpf-usa/bob3,M,Raw,29,Pro MR-O,86.7,90,317.5,192.5,355,865,570.11
92,93,Michael Estrella,michaelestrella,mikeyestrella,,USA,USA-WA,USA-UA,2019-08-30,USA,CA,wrpf-usa/bob6,M,Raw,33,Open,67.3,67.5,242.5,192.5,303,738,570.03
93,94,Delaney Wallace,delaneywallace,dlaneywallace,,USA,,IPF,2024-02-10,UK,,ipf/2401,M,Raw,29,Open,82.7,,305,207.5,330,842.5,569.73
94,95,Carl Johansson,carljohansson,deadlift.miyagi,,Sweden,,IPF,2024-02-10,UK,,ipf/2401,M,Raw,23,Open,73.7,,270,185,330.5,785.5,569.68
95,96,Zebulun Drake,zebulundrake,,,USA,USA-MS,USPA,2023-11-18,USA,FL,uspa/3002,M,Raw,29,Open,142.7,140+,400,250,395,1045,569.64
96,97,Maxavier Jean-Philippe,maxavierjeanphilippe,rpemax,redgold_anim bold,USA,USA-NY,WRPF,2021-09-25,USA,MO,wrpf-usa/2123,M,Raw,28,Open,109.5,110,330,235,395,960,569.56
97,98,Jonathan Cayco,jonathancayco,league_of_lifting,,USA,,IPF,2024-02-10,UK,,ipf/2401,M,Raw,31,Open,92.6,,300,245.5,347.5,893,569.21
98,99,Andrew Herbert,andrewherbert,herbietheluvbug,purple,USA,USA-CA,SPF,2018-11-10,USA,CA,spf/1846,M,Raw,36,Open,109,110,360,207.5,390,957.5,568.98
99,100,Jessica Buettner,jessicabuettner,djessicabuettner,,Canada,,IPF,2022-06-06,South Africa,,ipf/2203,F,Raw,27,Open,75.2,76,218.5,105,261.5,585,568.78
